N,t_peak,F_peak,mode,spectral_gap,threshold,num_pts,margin,taper_len,gamma,c3,c5,eps,bounded_maxJ
21,25.755034,0.875602,global_max,0.057437,0.98,4000,60.0,4,1.15,0.72,0.44,0.14,0
41,25.382526,0.976748,global_max,0.077840,0.98,4000,60.0,4,1.15,0.72,0.44,0.14,0
61,22.372232,0.980822,threshold_localmax_refined,0.029527,0.98,4000,60.0,4,1.15,0.72,0.44,0.14,0
81,21.802975,0.984744,threshold_localmax_refined,0.011808,0.98,4000,60.0,4,1.15,0.72,0.44,0.14,0
101,22.189542,0.990958,threshold_localmax_refined,0.031391,0.98,4000,60.0,4,1.15,0.72,0.44,0.14,0
121,22.006883,0.992745,threshold_localmax_refined,0.002813,0.98,4000,60.0,4,1.15,0.72,0.44,0.14,0
141,21.952313,0.993903,threshold_localmax_refined,0.017500,0.98,4000,60.0,4,1.15,0.72,0.44,0.14,0
161,21.971336,0.994688,threshold_localmax_refined,0.008449,0.98,4000,60.0,4,1.15,0.72,0.44,0.14,0
181,22.056241,0.995148,threshold_localmax_refined,0.008131,0.98,4000,60.0,4,1.15,0.72,0.44,0.14,0
201,21.929581,0.995464,threshold_localmax_refined,0.011225,0.98,4000,60.0,4,1.15,0.72,0.44,0.14,0
